Grade	Subject	Chapter Name	Learning Outcomes
CLASS_5	Mathematics	Can You See the Pattern?	Identify number patterns.
CLASS_5	Mathematics	Mapping Your Way	Read and create maps.
CLASS_5	EVS	Super Senses	Understand animal senses.
CLASS_5	EVS	A Snake Charmer's Story	Learn about snakes.
CLASS_5	EVS	From Tasting to Digesting	Understand digestive system.
CLASS_5	EVS	Mangoes Round the Year	Understand food preservation.
CLASS_5	EVS	Seeds and Seeds	Learn about seed varieties.
CLASS_6	English	A Tale of Two Birds	Understand environment's influence.
CLASS_6	English	The Friendly Mongoose	Learn about trust.
CLASS_6	English	The Shepherd's Treasure	Appreciate honesty.
CLASS_6	English	The Tasted Tale	Develop comprehension skills.
CLASS_6	English	The Old Clock Shop	Appreciate heritage.
CLASS_6	English	The Kite	Understand poetry.
CLASS_6	English	Quarrel	Learn conflict resolution.
CLASS_6	English	Beauty	Appreciate aesthetic sense.
CLASS_6	Hindi	वह चिड़िया जो	Appreciate nature poetry.
CLASS_6	Hindi	बचपन	Reflect on childhood memories.
CLASS_6	Hindi	नादान दोस्त	Understand unintended consequences.
CLASS_6	Hindi	चाँद से थोड़ी-सी गप्पें	Develop imagination.
CLASS_6	Hindi	अक्षरों का महत्व	Understand literacy importance.
CLASS_6	Mathematics	Knowing Our Numbers	Compare large numbers.
CLASS_6	Mathematics	Whole Numbers	Understand number line.
CLASS_6	Mathematics	Playing with Numbers	Find factors and multiples.
CLASS_6	Mathematics	Basic Geometrical Ideas	Recognize points, lines.
CLASS_6	Mathematics	Understanding Elementary Shapes	Identify 2D and 3D shapes.
CLASS_6	Mathematics	Integers	Understand negative numbers.
CLASS_6	Mathematics	Fractions	Compare fractions.
CLASS_6	Mathematics	Decimals	Understand decimal notation.
CLASS_6	Science	Food: Where Does It Come From?	Identify food sources.
CLASS_6	Science	Components of Food	Understand nutrients.
CLASS_6	Science	Fibre to Fabric	Learn about natural fibers.
CLASS_6	Science	Separation of Substances	Learn separation methods.
CLASS_6	Science	Changes Around Us	Distinguish reversible changes.
CLASS_6	Science	Getting to Know Plants	Identify plant parts.
CLASS_6	Science	Body Movements	Understand joints and bones.
CLASS_6	Science	The Living Organisms	Recognize characteristics.
CLASS_6	Science	Motion and Measurement	Measure distances.
CLASS_6	Social Science	Understanding Diversity	Appreciate cultural diversity.
CLASS_6	Social Science	Diversity and	Discrimination Recognize inequality.
CLASS_6	Social Science	What is Government?	Understand government functions.
CLASS_6	Social Science	Key Elements of Democratic Government	Learn about equality.
CLASS_6	Social Science	Panchayati Raj	Understand local self-government.
CLASS_7	English	A Gift of Chappals	Analyses characters.
CLASS_7	English	Gopal and the Hilsa Fish Understands	satire.
CLASS_7	English	Poem: The Shed	Interprets fear.
CLASS_7	English	The Ashes that Made Trees Bloom	Summarises; interprets moral.
CLASS_7	English	Poem: Trees	Explains importance of trees.
CLASS_7	Hindi	हम पंछी उन्मुक्त गगन के कविता का	भावार्थ समझता है.
CLASS_7	Hindi	दादी माँ भावनाओं की	पहचान करता है.
CLASS_7	Hindi	मिठाईवाला	मेहनत, ईमानदारी का संदेश.
CLASS_7	Hindi	पापा खो गए	भावनात्मक स्थितियाँ समझता है.
CLASS_7	Hindi	वीर कुणाल	इतिहास आधारित चरित्र.
CLASS_7	Hindi	कंचा	कठिन परिश्रम.
CLASS_7	Hindi	गिद्ध	पर्यावरण संरक्षण.
CLASS_7	Mathematics	Integers	Performs all integer operations.
CLASS_7	Mathematics	Fractions & Decimals Converts	forms.
CLASS_7	Mathematics	Simple Equations	Forms & solves linear equations.
CLASS_7	Mathematics	Triangle & Its	Properties Applies triangle inequalities.
CLASS_7	Mathematics	Congruence of Triangles	Applies SSS, SAS, ASA, RHS.
CLASS_7	Mathematics	Comparing Quantities Percentage, profit–	loss.
CLASS_7	Mathematics	Perimeter &	Area Computes area.
CLASS_7	Mathematics	Exponents & Powers	Applies exponent laws.
CLASS_7	Science	Acids, Bases & Salts Uses	indicators.
CLASS_7	Science	Physical & Chemical Changes Identifies	reactions.
CLASS_7	Science	Forests: Our Lifeline Food	chain.
CLASS_7	Social Science	New Kings & Kingdoms	Explains administration.
CLASS_7	Social Science	The Mughal Empire Mansabdari;	expansion.
CLASS_7	Social Science	Our Changing Earth	Erosion; landforms.
CLASS_7	Social Science	Natural Vegetation & Wildlife	Biomes.
CLASS_7	Social Science	Human	Environment Settlements.
CLASS_7	Social Science	Life in Temperate Grasslands	Prairies.
CLASS_7	Social Science	Life in Deserts	Sahara/Ladakh.
CLASS_7	Social Science	On Equality	Rights; discrimination.
CLASS_7	Social Science	Women Change the World Social	reforms.
CLASS_7	Social Science	A Shirt in the Market Supply	chain.
CLASS_8	English	The Best Christmas Present	Summarises narrative.
CLASS_8	English	The Ant and the Cricket Understands	moral.
CLASS_8	English	The Tsunami	Interprets survival stories.
CLASS_8	English	Macavity: The Mystery Cat Identifies	character traits.
CLASS_8	English	The Last Bargain	Interprets metaphor.
CLASS_8	English	The Summit Within	Interprets personal challenge.
CLASS_8	English	The School Boy	Analyses emotions.
CLASS_8	English	This is Jody’s Fawn	Empathy; ethical reasoning.
CLASS_8	English	A Visit to Cambridge	Interprets disability narratives.
CLASS_8	English	When I Set Out for Lyonnesse	Interprets mood.
CLASS_8	English	A Short	Monsoon Diary Observes nature.
CLASS_8	English	The Great Stone Face – I Recognises	moral lessons.
CLASS_8	Hindi	ध्वनि कविता का	भावार्थ.
CLASS_8	Hindi	दीवानों की हस्ती	काव्य सौंदर्य.
CLASS_8	Hindi	भगवान के डाकिए	सामाजिक संदेश.
CLASS_8	Hindi	यह सबसे	कठिन समय नहीं सामाजिक असमानता.
CLASS_8	Hindi	कामचोर	चरित्र-चित्रण.
CLASS_8	Hindi	अकबदध	हास्य.
CLASS_8	Mathematics	Rational Numbers Compares &	performs operations.
CLASS_8	Mathematics	Linear Equations	Forms & solves.
CLASS_8	Mathematics	Comparing Quantities Percentage, profit–	loss.
CLASS_8	Mathematics	Algebraic Expressions	Applies identities.
CLASS_8	Mathematics	Mensuration Surface	area, volume.
CLASS_8	Mathematics	Exponents and Powers	Laws of exponents.
CLASS_8	Mathematics	Direct &	Inverse Proportions Solves ratio problems.
CLASS_8	Science	Crop Production	Explains agriculture practices.
CLASS_8	Science	Materials – Metals	Properties; reactions.
CLASS_8	Science	Combustion and Flame	Types of combustion.
CLASS_8	Science	Cell Structure	Organelles.
CLASS_8	Science	Reaching Adolescence	Hormones.
CLASS_8	Science	Friction	Types; advantages.
CLASS_8	Science	Light Reflection;	laws.
CLASS_8	Social Science	How, When & Where Understanding history-	writing.
CLASS_8	Social Science	When People Rebel 1857	Causes, consequences.
CLASS_8	Social Science	Colonialism & the City	Urbanisation.
CLASS_8	Social Science	Civilising the Native Colonial	education.
CLASS_8	Social Science	Women,	Caste & Reform Social reformers.
CLASS_8	Social Science	Resources	Types; sustainable.
CLASS_8	Social Science	Land,	Soil, Water Conservation.
CLASS_8	Social Science	Mineral & Power Resources	Renewable/non-renewable.
CLASS_8	Social Science	Industries	Classification.
CLASS_8	Social Science	The Indian Constitution	Values.
CLASS_8	Social Science	Understanding Secularism	Religious freedom.
CLASS_8	Social Science	Why Do We Need a Parliament?	Role of MPs.
CLASS_8	Social Science	Understanding	Laws Civil/criminal.
CLASS_8	Social Science	Law & Social Justice Workers’	rights.
CLASS_9	English	The Fun They Had	Analyses futuristic setting.
CLASS_9	English	The Sound of Music	Summarises biography.
CLASS_9	English	The Little Girl	Analyses parent–child relationship.
CLASS_9	English	A Truly Beautiful Mind	Interprets Einstein’s life.
CLASS_9	English	The Snake and the	Mirror Identifies irony.
CLASS_9	English	My Childhood	Analyses APJ Abdul Kalam.
CLASS_9	English	The Lost Child Identifies theme of	fear.
CLASS_9	English	Iswaran the Storyteller	Analyses narrative.
CLASS_9	English	In the Kingdom of Fools	Moral reasoning.
CLASS_9	Hindi	दो बैलों की कथा	चरित्र-चित्रण.
CLASS_9	Hindi	वाख – ललदेद	काव्य सौंदर्य.
CLASS_9	Hindi	एक कुत्ता और एक मैना	व्यंग्य.
CLASS_9	Hindi	गिरगिट	व्यंग्य.
CLASS_9	Mathematics	Polynomials	Types; factorisation.
CLASS_9	Mathematics	Quadrilaterals	Types; properties.
CLASS_9	Mathematics	Areas of Parallelograms	Area relations.
CLASS_9	Mathematics	Heron’s Formula	Area using sides.
CLASS_9	Mathematics	Statistics	Data collection.
CLASS_9	Science	The Fundamental Unit of Life Cell	organelles.
CLASS_9	Science	Force and	Laws of Motion Newton’s laws.
CLASS_9	Science	Work and	Energy Potential/kinetic energy.
CLASS_9	Social Science	The French Revolution	Causes, events.
CLASS_9	Social Science	Peasants and Farmers	Causes, impacts.
CLASS_9	Social Science	India – Size & Location Physical	Features.
CLASS_9	Social Science	Drainage	River systems.
CLASS_9	Social Science	Climate	Monsoon.
CLASS_9	Social Science	What is Democracy?	Features.
CLASS_9	Social Science	Democratic	Rights Rights.
CLASS_9	Social Science	People as Resource Human	capital.
CLASS_10	English	A Letter to God	Interprets theme of faith.
CLASS_10	English	Fire and Ice	Interprets metaphorical meaning.
CLASS_10	English	Two Stories About Flying	Interprets fear.
CLASS_10	English	The Ball Poem Identifies theme of	loss.
CLASS_10	English	From the Diary of Anne Frank	Analyses diary format.
CLASS_10	English	Amanda!	Interprets tone.
CLASS_10	English	The Hundred Dresses–I Understands	discrimination.
CLASS_10	English	The Hundred Dresses–II	Evaluates consequences.
CLASS_10	English	Mijbil the Otter	Observational writing.
CLASS_10	English	Fog	Interprets metaphor.
CLASS_10	English	Madam Rides the Bus Emotional	growth.
CLASS_10	English	The Thief’s Story	Moral development.
CLASS_10	English	A Question of Trust	Predicts outcomes.
CLASS_10	English	The Making of a Scientist	Traits of scientists.
CLASS_10	English	The Necklace	Character flaw.
CLASS_10	English	Bholi	Empowerment.
CLASS_10	English	The Book That Saved the Earth	Satire.
CLASS_10	Hindi	सत्यमेव जयते	सत्य का महत्व.
CLASS_10	Hindi	मनुष्य और मशीन	विज्ञान बनाम मानवता.
CLASS_10	Hindi	उर्वशी	काव्य सौंदर्य.
CLASS_10	Hindi	पद – सूरदास	श्रृंगार.
CLASS_10	Hindi	व्यवसायी	समाज; नैतिकता.
CLASS_10	Hindi	गिरगिट	व्यंग्य.
CLASS_10	Mathematics	Real Numbers Euclid’s	division.
CLASS_10	Mathematics	Linear Equations	Substitution, elimination.
CLASS_10	Mathematics	Circles Tangent	properties.
CLASS_10	Science	Chemical	Reactions Balancing equations.
CLASS_10	Science	Acids, Bases and Salts pH;	reactions.
CLASS_10	Science	Carbon and Its Compounds	Covalent bonding.
CLASS_10	Science	Life	Processes Nutrition; respiration.
CLASS_10	Science	Control and Coordination	Nervous system.
CLASS_10	Science	How Do Organisms Reproduce?	Reproduction types.
CLASS_10	Science	Heredity and Evolution	Mendel’s laws.
CLASS_10	Science	Light – Reflection	Mirror/lens.
CLASS_10	Science	Human	Eye Defects; dispersion.
CLASS_10	Science	Electricity	Ohm’s law.
CLASS_10	Science	Sources of	Energy Renewable.
CLASS_10	Science	Our	Environment Ecosystems.
CLASS_10	Science	Sustainable Management	Conservation.
CLASS_10	Social Science	Rise of	Nationalism Europe Unification.
CLASS_10	Social Science	Print Culture	Printing history.
CLASS_10	Social Science	Work, Life and Leisure	Urbanisation.
CLASS_10	Social Science	Resources and Development	Soil types.
CLASS_10	Social Science	Forest and Wildlife	Biodiversity.
CLASS_10	Social Science	Minerals and	Energy Distribution.
CLASS_10	Social Science	Manufacturing Industries	Classification.
CLASS_10	Social Science	Lifelines of National Economy	Transport.
CLASS_10	Social Science	Power Sharing	Federalism.
CLASS_10	Social Science	Gender, Religion and	Caste Inequalities.
CLASS_10	Social Science	Political Parties	Functions.
CLASS_10	Social Science	Challenges to Democracy	Reforms.
CLASS_10	Social Science	Development	Indicators; HDI.
CLASS_10	Social Science	Money and	Credit Banking.
CLASS_11	English	The Portrait of a Lady	Analyses relationships.
CLASS_11	English	A Photograph	Interprets imagery.
CLASS_11	English	We’re Not Afraid to Die	Tracks events.
CLASS_11	English	The Address Post-	war trauma.
CLASS_11	English	Birth Medical	ethics.
CLASS_11	English	The Tale of Melon City	Satire.
CLASS_11	Hindi	नमक	सामाजिक मुद्दे.
CLASS_11	Hindi	म्याँ मैं	व्यक्तिगत अनुभव.
CLASS_11	Hindi	ईदगाह	मानवीय संवेदना.
CLASS_11	Hindi	हरिहर काका	सामाजिक मूल्य.
CLASS_11	Hindi	ग़ज़ल	भावार्थ.
CLASS_11	Mathematics	Sets Basic	operations.
CLASS_11	Mathematics	Relations &	Functions Domain, range.
CLASS_11	Mathematics	Trigonometric	Functions Identities.
CLASS_11	Mathematics	Linear	Inequalities Graphs.
CLASS_11	Mathematics	Binomial Theorem	Expansion.
CLASS_11	Mathematics	Straight Lines	Slope.
CLASS_11	Mathematics	D Geometry	Coordinates.
CLASS_11	Mathematics	Probability	Classical.
CLASS_11	Physics	Physical World	Scope.
CLASS_11	Physics	Units & Measurements	Errors.
CLASS_11	Physics	Motion in a Straight Line	Kinematics.
CLASS_11	Physics	Motion in a Plane	Vectors.
CLASS_11	Physics	Work,	Energy & Power Work-energy theorem.
CLASS_11	Physics	Rotational Motion	Torque.
CLASS_11	Physics	Gravitation Kepler’s	laws.
CLASS_11	Physics	Solids	Stress-strain.
CLASS_11	Physics	Fluids	Pascal’s law.
CLASS_11	Physics	Thermal	Properties Heat transfer.
CLASS_11	Physics	Thermodynamics	Laws.
CLASS_11	Physics	Kinetic	Theory Ideal gas.
CLASS_11	Physics	Oscillations	SHM.
CLASS_11	Chemistry	Basic	Concepts Mole concept.
CLASS_11	Chemistry	Chemical Bonding	VSEPR.
CLASS_11	Chemistry	States of Matter Gas	laws.
CLASS_11	Chemistry	Thermodynamics	Enthalpy.
CLASS_11	Chemistry	Organic Basics	IUPAC.
CLASS_11	Chemistry	Hydrocarbons	Alkanes.
CLASS_11	Chemistry	Environmental Chemistry	Pollution.
CLASS_11	Biology	Biological	Classification Five-kingdom.
CLASS_11	Biology	Plant Kingdom	Algae.
CLASS_11	Biology	Anatomy Secondary	growth.
CLASS_11	Biology	Cell Structure	Organelles.
CLASS_11	Biology	Biomolecules	Enzymes.
CLASS_11	Biology	Cell Cycle	Mitosis.
CLASS_11	Biology	Mineral	Nutrition Essential nutrients.
CLASS_11	Biology	Respiration	Glycolysis.
CLASS_11	Biology	Plant	Growth Hormones.
CLASS_11	Biology	Digestion	Enzymes.
CLASS_11	Biology	Breathing Gas	transport.
CLASS_11	Biology	Body Fluids	Heart.
CLASS_11	Biology	Excretory Products	Kidney.
CLASS_11	Biology	Locomotion	Muscles.
CLASS_11	Biology	Neural Control	Neurons.
CLASS_11	Biology	Chemical Coordination	Hormones.
CLASS_11	Accountancy	Introduction	Concepts.
CLASS_11	Accountancy	Recording I	Journal.
CLASS_11	Accountancy	Recording II	Ledger.
CLASS_11	Accountancy	Trial Balance	Errors.
CLASS_11	Business Studies	Emerging	Modes E-business.
CLASS_11	Business Studies	Social Responsibilities	CSR.
CLASS_11	Economics	Indian Economy	Features.
CLASS_11	Economics	Human	Capital Education.
CLASS_11	Economics	Rural Development	Credit.
CLASS_11	Economics	Statistics	Data types.
CLASS_11	Political Science	Political	Theory Methods.
CLASS_11	Political Science	Equality	Discrimination.
CLASS_11	Geography	Earth’s Interior	Seismic waves.
CLASS_11	Geography	Geomorphic	Processes Erosion.
CLASS_11	Geography	Climate	Monsoon.
CLASS_11	Geography	Drainage	River systems.
CLASS_11	Geography	Natural Vegetation	Conservation.
CLASS_11	Sociology	Culture	Values.
CLASS_11	Sociology	Stratification	Caste/class.
CLASS_11	Psychology	Thinking Problem	solving.
CLASS_11	Psychology	Motivation	Theories.
CLASS_11	Computer Science	Database	SQL.
CLASS_12	English	The Last Lesson	Loss of language.
CLASS_12	English	Lost Spring	Poverty cycles.
CLASS_12	English	Deep Water	Fear determination.
CLASS_12	English	The Rattrap	Moral transformation.
CLASS_12	English	Indigo	Leadership.
CLASS_12	English	Going Places	Fantasy.
CLASS_12	English	My Mother at Sixty-Six	Aging.
CLASS_12	English	Classroom in a Slum	Inequality.
CLASS_12	English	Keeping Quiet	Introspection.
CLASS_12	English	A Thing of Beauty	Eternal themes.
CLASS_12	English	A Roadside Stand	Inequality.
CLASS_12	English	Aunt Jennifer’s Tigers	Feminism.
CLASS_12	English	The Third Level	War stress.
CLASS_12	English	The Tiger King	Satire.
CLASS_12	English	The Enemy	War ethics.
CLASS_12	English	Should Wizard Hit Mommy?	Parenting.
CLASS_12	English	On the Face of It	Disability.
CLASS_12	English	Memories of Childhood	Discrimination.
CLASS_12	Hindi	आख़िरी छलाँग	संघर्ष.
CLASS_12	Hindi	बाजार दर्शन	उपभोक्तावाद.
CLASS_12	Hindi	यमराज की दिशा	व्यंग्य.
CLASS_12	Hindi	टमाटर खाँ	सामाजिक व्याप्ति.
CLASS_12	Hindi	भारतीय	समाज सामाजिक संरचना.
CLASS_12	Hindi	सिल्वर वैडिंग	हास्य.
CLASS_12	Mathematics	Relations and	Functions Inverse functions.
CLASS_12	Mathematics	Matrices	Operations.
CLASS_12	Mathematics	Determinants	Solving equations.
CLASS_12	Mathematics	Continuity	Chain rule.
CLASS_12	Mathematics	Applications of Derivatives	Maxima.
CLASS_12	Mathematics	Integrals	Substitution.
CLASS_12	Mathematics	Applications of Integrals	Area.
CLASS_12	Mathematics	Differential Equations	First-order.
CLASS_12	Mathematics	Vector Algebra	Dot/cross.
CLASS_12	Mathematics	D Geometry	Planes.
CLASS_12	Mathematics	Linear Programming	Optimisation.
CLASS_12	Mathematics	Probability	Bayes theorem.
CLASS_12	Physics	Electric Charges	Coulomb law.
CLASS_12	Physics	Potential & Capacitance	Energy.
CLASS_12	Physics	Current Electricity	Ohm’s law.
CLASS_12	Physics	Moving Charges	Lorentz force.
CLASS_12	Physics	Alternating Current	Resonance.
CLASS_12	Physics	EM Waves	Spectrum.
CLASS_12	Physics	Ray Optics	Lens formula.
CLASS_12	Physics	Dual Nature	Photoelectric effect.
CLASS_12	Physics	Atoms	Spectra.
CLASS_12	Physics	Nuclei	Fission.
CLASS_12	Physics	Semiconductors	Logic gates.
CLASS_12	Chemistry	Solid State	Crystals.
CLASS_12	Chemistry	Solutions	Raoult’s law.
CLASS_12	Chemistry	Electrochemistry	Nernst.
CLASS_12	Chemistry	Chemical Kinetics	Rate laws.
CLASS_12	Chemistry	Surface Chemistry	Colloids.
CLASS_12	Chemistry	Isolation of Metals	Refining.
CLASS_12	Chemistry	p-Block	Group 15–18.
CLASS_12	Chemistry	d and f Block	Lanthanides.
CLASS_12	Chemistry	Coordination Compounds	Isomerism.
CLASS_12	Chemistry	Haloalkanes	Substitution.
CLASS_12	Chemistry	Alcohols	Reactions.
CLASS_12	Chemistry	Aldehydes	Nucleophilic addition.
CLASS_12	Chemistry	Amines	Basicity.
CLASS_12	Chemistry	Biomolecules	Proteins.
CLASS_12	Chemistry	Polymers	Preparation.
CLASS_12	Chemistry	Chemistry in Life	Drugs.
CLASS_12	Biology	Sexual	Reproduction Plants.
CLASS_12	Biology	Human	Reproduction Pregnancy.
CLASS_12	Biology	Reproductive	Health STDs.
CLASS_12	Biology	Molecular Basis	DNA replication.
CLASS_12	Biology	Evolution	Darwinism.
CLASS_12	Biology	Food Production	Tissue culture.
CLASS_12	Biology	Microbes	Antibiotics.
CLASS_12	Biology	Biotechnology	Principles PCR.
CLASS_12	Biology	Biotechnology Applications	GM plants.
CLASS_12	Biology	Organisms	Ecology.
CLASS_12	Accountancy	Non-Profit	Receipts.
CLASS_12	Accountancy	Partnership Basics	Goodwill.
CLASS_12	Accountancy	Admission	Revaluation.
CLASS_12	Accountancy	Retirement	Settlement.
CLASS_12	Accountancy	Dissolution	Realisation.
